"","Date","Democrat","Republican"
"219","10/25 - 10/28","68","25"
"220","10/10 - 10/27","65","27"
"221","10/24 - 10/28","65","26"
"222","10/1 - 10/7","66","27"
"223","9/17 - 9/21","68","24"
"224","9/13 - 9/17","55","28"
"225","6/8 - 6/12","52","22"
"226","5/22 - 5/26","60","20"
"227","3/16 - 3/18","60","21"
"228","11/9 - 11/12","59","19"
"229","6/19 - 6/22","55","22"
"230","--","49.2","46.3"
"231","10/22 - 11/1","44.3","39.8"
"232","10/30 - 11/1","46","37"
"233","10/29 - 10/31","38","40"
"234","10/27 - 10/29","46","39"
"235","10/22 - 10/28","47","43"
"236","10/13 - 10/17","40","36"
"237","10/3 - 10/8","47","39"
"238","9/12 - 9/17","43","37"
"239","8/24 - 8/27","49","40"
"240","8/16 - 8/21","53","37"
"241","--","49.9","50.1"
"242","10/29 - 11/5","48.8","46.4"
"243","11/4 - 11/5","47","49"
"244","11/3 - 11/4","50","46"
"245","11/1 - 11/3","50","45"
"246","10/29 - 11/4","46","48"
"247","10/29 - 11/4","51","44"
"248","10/28 - 11/3","45","48"
"249","11/1 - 11/2","48","49"
"250","10/29 - 11/2","50","47"
"251","10/30 - 11/1","50","46"
"252","10/30 - 10/31","49","47"
"253","10/29 - 10/30","49","47"
"254","10/25 - 10/28","45","43"
"255","10/24 - 10/29","49","47"
"256","10/23 - 10/27","48","44"
"257","10/23 - 10/26","46","46"
"258","10/23 - 10/26","47","46"
"259","10/22 - 10/23","49","45"
"260","10/20 - 10/21","48","49"
"261","10/16 - 10/23","46","45"
"262","10/18 - 10/21","41","42"
"263","10/18 - 10/21","49","41"
"264","10/17 - 10/21","52","46"
"265","10/16 - 10/20","50","45"
"266","10/15 - 10/16","47","49"
"267","9/29 - 9/30","47","47"
"268","9/17 - 9/30","45","44"
"269","9/24 - 9/27","47","46"
"270","9/20 - 9/24","53","46"
"271","9/17 - 9/19","45","45"
"272","9/16 - 9/20","48","45"
"273","9/13 - 9/16","41","42"
"274","9/10 - 9/11","45","44"
"275","9/7 - 9/9","44","46"
"276","8/30 - 9/3","49","49"
"277","8/29 - 8/30","47","47"
"278","8/29 - 8/30","47","47"
"279","8/16 - 8/20","39","45"
"280","7/24 - 7/25","44","47"
"281","7/20 - 7/21","40","44"
"282","7/13 - 7/14","47","43"
"283","6/19 - 6/22","41","46"
"284","6/17 - 6/21","49","45"
"285","5/25 - 6/4","45","48"
"286","5/4 - 5/7","40","44"
"287","2/26 - 3/19","44","40"
"288","2/23 - 2/26","46","42"
"289","2/1 - 2/18","44","40"
"290","1/29 - 2/4","48","42"
"291","1/30 - 2/1","45","44"
"292","10/17 - 10/19","44","44"
"293","10/11 - 10/17","37","36"
"294","9/17 - 9/24","45","47"
"295","8/24 - 8/26","42","40"
"296","4/4 - 4/10","56","28"
"297","--","54.5","45.5"
"298","11/1 - 11/5","50","36"
"299","10/19 - 10/26","45","36"
"300","10/17 - 10/19","41","23"
"301","10/12 - 10/21","43","27"
"302","10/10 - 10/24","36","29"
"303","10/12 - 10/14","40","26"
"304","9/17 - 10/14","44","31"
"305","9/9 - 9/18","40","29"
"306","7/8 - 7/17","46","24"
"307","6/26 - 6/27","46","24"
"308","6/6 - 6/17","36","18"
"309","--","50.9","48.3"
"310","10/22 - 11/5","51.3","44.5"
"311","11/3 - 11/5","52","43"
"312","10/28 - 10/30","50","47"
"313","10/25 - 10/26","52","42"
"314","10/22 - 10/28","51","46"
"315","10/15 - 10/21","51","45"
"316","10/9 - 10/13","52","45"
"317","10/8 - 10/11","51","43"
"318","10/3 - 10/9","54","45"
"319","10/2 - 10/5","50","44"
"320","10/1 - 10/5","47","42"
"321","9/11 - 9/17","54","45"
"322","9/6 - 9/7","46","42"
"323","8/22 - 8/25","39","38"
"324","8/12 - 8/16","49","45"
"325","7/26 - 7/31","49","43"
"326","7/9 - 7/26","41","39"
"327","7/3 - 7/7","51","42"
"328","6/19 - 6/22","50","40"
"329","6/8 - 6/17","41","36"
"330","5/23 - 5/29","50","39"
"331","5/19 - 5/21","47","40"
"332","4/12 - 4/17","47","44"
"333","--","54.0","30.6"
"334","10/24 - 11/1","50.3","33.3"
"335","10/26 - 11/1","51","31"
"336","10/29 - 10/29","52","37"
"337","10/24 - 10/26","48","32"
"338","9/7 - 9/13","47","26"
"339","8/17 - 8/18","39","11"
"340","--","47.6","49.9"
"341","10/24 - 11/5","47.5","46.5"
"342","11/4 - 11/5","47","45"
"343","11/2 - 11/3","49","48"
"344","10/29 - 11/4","48","45"
"345","11/1 - 11/3","48","49"
"346","10/28 - 11/3","49","43"
"347","10/30 - 11/1","47","50"
"348","10/24 - 11/2","47","46"
"349","10/27 - 10/29","46","46"
"350","10/24 - 10/29","47","51"
"351","10/23 - 10/27","44","50"
"352","10/23 - 10/26","44","47"
"353","10/22 - 10/23","52","45"
"354","10/15 - 10/19","48","46"
"355","10/2 - 10/5","44","47"
"356","10/1 - 10/2","47","41"
"357","9/29 - 10/2","45","47"
"358","9/27 - 9/30","42","45"
"359","9/19 - 9/21","39","45"
"360","9/16 - 9/20","45","48"
"361","9/11 - 9/15","43","50"
"362","9/8 - 9/11","44","47"
"363","9/5 - 9/6","49","46"
"364","9/5 - 9/7","49","48"
"365","7/23 - 7/25","44","48"
"366","6/27 - 7/2","39","43"
"367","6/21 - 6/22","32","40"
"368","6/17 - 6/21","38","49"
"369","6/19 - 6/22","37","45"
"370","4/10 - 4/11","42","48"
"371","11/9 - 11/9","45","46"
"372","--","50.4","45.4"
"373","10/29 - 11/4","46.7","46.7"
"374","11/1 - 11/4","49","45"
"375","10/29 - 11/4","45","46"
"376","10/29 - 11/1","46","49"
"377","10/28 - 11/3","45","45"
"378","10/24 - 10/29","48","45"
"379","10/24 - 10/26","47","45"
"380","10/10 - 10/12","41","48"
"381","10/8 - 10/10","45","47"
"382","9/30 - 10/3","44","46"
"383","9/25 - 9/29","47","43"
"384","9/11 - 9/12","47","45"
"385","9/5 - 9/10","42","41"
"386","7/25 - 7/29","40","41"
"387","6/23 - 6/26","45","41"
"388","4/12 - 4/19","39","40"
"389","--","50.1","47.0"
"390","10/24 - 11/5","49.0","45.7"
"391","11/2 - 11/5","50","49"
"392","10/29 - 11/4","49","43"
"393","10/28 - 11/3","50","42"
"394","10/24 - 10/26","48","45"
"395","10/8 - 10/13","47","38"
"396","9/15 - 10/6","46","43"
"397","9/19 - 9/22","49","45"
"398","9/10 - 9/14","47","45"
"399","7/8 - 7/10","49","46"
"400","6/11 - 6/13","52","44"
"401","--","51.5","45.5"
"402","10/27 - 11/4","46.8","46.2"
"403","11/1 - 11/3","49","46"
"404","10/29 - 11/4","45","45"
"405","10/29 - 11/4","48","44"
"406","10/28 - 11/3","45","46"
"407","11/1 - 11/2","47","47"
"408","10/30 - 11/1","47","50"
"409","10/27 - 10/30","45","45"
"410","10/24 - 10/25","49","45"
"411","10/17 - 10/18","47","46"
"412","9/29 - 10/2","46","46"
"413","9/26 - 9/27","48","46"
"414","9/25 - 9/29","44","47"
"415","9/11 - 9/13","47","44"
"416","9/10 - 9/14","45","45"
"417","9/8 - 9/11","45","45"
"418","8/25 - 8/28","47","47"
"419","8/8 - 8/9","47","47"
"420","7/7 - 7/8","48","46"
"421","5/9 - 5/10","44","48"
"422","4/26 - 4/29","45","45"
"423","4/19 - 4/20","44","48"
"424","4/4 - 4/6","44","45"
"425","3/5 - 3/7","40","42"
"426","1/3 - 1/4","49","45"
"427","10/11 - 10/12","48","45"
"428","8/16 - 8/18","50","45"
"429","7/7 - 7/8","50","44"
"430","--","54.7","43.9"
"431","10/22 - 10/30","49.2","44.0"
"432","10/28 - 10/30","52","44"
"433","10/27 - 10/30","50","41"
"434","10/24 - 10/29","49","45"
"435","10/22 - 10/29","44","44"
"436","10/23 - 10/27","51","46"
"437","10/8 - 10/13","43","44"
"438","10/8 - 10/11","54","40"
"439","10/2 - 10/5","50","42"
"440","9/29 - 10/2","48","43"
"441","9/11 - 9/15","45","50"
"442","9/8 - 9/11","47","44"
"443","8/25 - 8/28","46","48"
"444","8/9 - 8/11","48","44"
"445","7/11 - 7/14","37","43"
"446","4/17 - 4/19","43","46"
"447","3/22 - 3/29","35","45"
"448","12/11 - 12/12","40","42"
"449","--","45.1","51.0"
"450","10/15 - 10/30","44.0","43.3"
"451","10/27 - 10/30","45","38"
"452","10/24 - 10/28","45","42"
"453","10/23 - 10/26","43","46"
"454","10/15 - 10/20","43","47"
"455","10/12 - 10/16","41","40"
"456","10/12 - 10/16","44","40"
"457","9/29 - 10/2","43","41"
"458","9/8 - 9/11","43","45"
"459","8/26 - 8/29","44","41"
"460","--","53.2","46.8"
"461","10/29 - 10/30","46","37"
"462","10/26 - 10/28","49","43"
"463","10/4 - 10/8","54","36"
"464","9/16 - 9/20","52","39"
"465","6/17 - 6/21","51","38"
"466","6/7 - 6/12","51","34"
"467","6/6 - 6/11","53","37"
"468","3/16 - 3/20","52","38"
"469","--","52.2","45.8"
"470","10/29 - 11/5","52.0","43.7"
"471","11/5 - 11/5","49","46"
"472","11/4 - 11/4","53","46"
"473","11/2 - 11/5","53","44"
"474","10/29 - 10/30","54","41"
"475","10/25 - 10/27","53","36"
"476","10/25 - 10/25","52","46"
"477","10/24 - 10/26","52","43"
"478","10/22 - 10/24","53","43"
"479","10/18 - 10/23","49","42"
"480","10/14 - 10/18","53","37"
"481","9/30 - 10/7","51","42"
"482","9/30 - 10/2","53","35"
"483","9/21 - 9/25","56","33"
"484","9/12 - 9/13","54","41"
"485","9/10 - 9/14","55","40"
"486","9/5 - 9/7","56","33"
"487","8/14 - 8/16","51","35"
"488","7/19 - 7/21","47","29"
"489","7/15 - 7/19","55","37"
"490","1/16 - 1/19","51","30"
"491","--","55.4","44.6"
"492","10/24 - 10/31","52.3","41.7"
"493","10/29 - 10/31","53","44"
"494","10/24 - 10/28","54","43"
"495","10/3 - 10/7","53","43"
"496","9/30 - 10/3","54","40"
"497","9/12 - 9/16","53","42"
"498","8/18 - 8/24","50","42"
"499","8/15 - 8/19","49","47"
"500","7/26 - 7/28","50","36"
"501","7/15 - 7/19","55","38"
"502","6/13 - 6/17","49","40"
"503","--","49.5","46.3"
"504","10/19 - 10/31","46.0","41.0"
"505","10/28 - 10/31","47","42"
"506","10/19 - 10/30","45","40"
"507","10/12 - 10/19","52","36"
"508","9/17 - 9/26","46","38"
"509","9/13 - 9/15","45","33"
"510","8/16 - 8/26","46","38"
"511","7/13 - 7/16","50","40"
"512","6/14 - 6/19","50","43"
"513","6/12 - 6/13","46","35"
"514","5/22 - 5/22","53","40"
"515","5/10 - 5/10","44","46"
"516","8/11 - 8/20","51","37"
"517","--","56.9","41.2"
"518","9/4 - 9/9","52","36"
"519","8/12 - 8/19","51","34"
"520","7/10 - 7/30","49","26"
"521","6/21 - 6/25","54","36"
"522","5/20 - 5/30","44","33"
"523","2/5 - 2/28","56","32"
"524","9/5 - 9/12","53","36"
"525","--","55.6","42.7"
"526","9/12 - 11/1","52.0","37.7"
"527","10/28 - 11/1","54","40"
"528","10/22 - 10/28","50","35"
"529","9/17 - 9/23","50","33"
"530","9/13 - 9/19","53","35"
"531","9/12 - 9/13","52","38"
"532","8/20 - 8/26","47","34"
"533","8/12 - 8/16","53","38"
"534","6/21 - 6/25","47","32"
"535","6/4 - 6/10","44","27"
"536","4/4 - 4/12","48","32"
"537","3/19 - 3/26","43","25"
"538","--","66.5","33.5"
"539","10/28 - 11/1","58","35"
"540","10/10 - 10/16","58","33"
"541","9/20 - 9/27","61","29"
"542","7/12 - 7/16","57","30"
"543","6/4 - 6/7","61","28"
"544","4/26 - 5/1","58","23"
"545","4/8 - 4/12","58","27"
"546","3/11 - 3/16","60","24"
"547","--","60.3","36.3"
"548","10/1 - 10/28","55.8","31.0"
"549","10/25 - 10/28","54","32"
"550","10/24 - 10/28","56","34"
"551","10/10 - 10/27","57","27"
"552","10/1 - 10/7","56","31"
"553","9/17 - 9/21","56","30"
"554","9/13 - 9/17","54","24"
"555","6/8 - 6/12","55","33"
"556","5/22 - 5/26","55","19"
"557","3/16 - 3/18","55","20"
"558","11/9 - 11/12","58","32"
"559","6/19 - 6/22","60","29"
"560","--","59.4","39.5"
"561","10/30 - 11/1","58","35"
"562","10/27 - 10/29","55","35"
"563","10/22 - 10/28","56","41"
"564","10/3 - 10/8","57","42"
"565","8/24 - 8/27","54","37"
"566","8/16 - 8/21","59","31"
"567","--","48.2","46.1"
"568","11/1 - 11/7","46.8","43.6"
"569","11/4 - 11/6","46","43"
"570","11/4 - 11/7","43","42"
"571","11/4 - 11/7","49","45"
"572","11/1 - 11/7","44","47"
"573","11/3 - 11/6","49","46"
"574","11/3 - 11/6","48","44"
"575","11/3 - 11/6","50","44"
"576","11/3 - 11/5","48","43"
"577","11/2 - 11/6","47","43"
"578","11/2 - 11/6","44","39"
"579","11/1 - 11/3","46","44"
"580","11/1 - 11/3","46","45"
"581","10/31 - 11/6","51","44"
"582","10/31 - 11/4","44","40"
"583","10/31 - 10/31","50","50"
"584","10/30 - 11/3","44","39"
"585","10/30 - 11/1","48","45"
"586","10/29 - 11/2","45","39"
"587","10/28 - 11/1","47","44"
"588","10/27 - 10/30","48","47"
"589","10/25 - 10/31","43","47"
"590","10/25 - 10/30","45","43"
"591","10/24 - 10/30","51","44"
"592","10/22 - 10/28","44","46"
"593","10/23 - 10/26","50","45"
"594","10/22 - 10/26","49","46"
"595","10/22 - 10/25","49","44"
"596","10/20 - 10/25","43","41"
"597","10/20 - 10/25","50","43"
"598","10/21 - 10/24","51","43"
"599","10/21 - 10/24","47","37"
"600","10/19 - 10/25","44","45"
"601","10/20 - 10/24","49","39"
"602","10/20 - 10/24","54","41"
"603","10/20 - 10/24","43","37"
"604","10/20 - 10/23","53","41"
"605","10/20 - 10/23","50","50"
"606","10/20 - 10/23","51","45"
"607","10/17 - 10/23","50","44"
"608","10/17 - 10/18","50","44"
"609","10/15 - 10/18","47","43"
"610","10/15 - 10/17","49","42"
"611","10/14 - 10/17","50","41"
"612","10/13 - 10/17","43","39"
"613","10/14 - 10/16","53","41"
"614","10/12 - 10/16","51","40"
"615","10/10 - 10/16","51","43"
"616","10/10 - 10/13","50","46"
"617","10/10 - 10/13","51","41"
"618","10/9 - 10/15","44","45"
"619","10/10 - 10/12","49","41"
"620","10/8 - 10/10","50","40"
"621","10/6 - 10/10","44","37"
"622","10/8 - 10/9","52","38"
"623","10/7 - 10/8","48","43"
"624","10/5 - 10/9","49","38"
"625","10/4 - 10/10","43","45"
"626","10/3 - 10/9","51","44"
"627","10/5 - 10/6","50","44"
"628","10/3 - 10/6","48","44"
"629","10/1 - 10/3","48","43"
"630","9/29 - 10/3","44","37"
"631","9/28 - 10/2","47","41"
"632","9/28 - 10/2","49","43"
"633","9/28 - 10/2","51","45"
"634","9/27 - 10/3","43","47"
"635","9/27 - 9/29","49","44"
"636","9/26 - 10/2","50","44"
"637","9/27 - 9/28","49","45"
"638","9/27 - 9/27","50","50"
"639","9/22 - 9/26","44","38"
"640","9/22 - 9/25","47","46"
"641","9/21 - 9/24","46","46"
"642","9/22 - 9/25","49","46"
"643","9/22 - 9/24","48","44"
"644","9/20 - 9/26","43","46"
"645","9/19 - 9/25","51","44"
"646","9/19 - 9/22","49","47"
"647","9/18 - 9/19","45","44"
"648","9/15 - 9/19","39","39"
"649","9/15 - 9/20","48","41"
"650","9/16 - 9/19","48","41"
"651","9/15 - 9/16","50","44"
"652","9/13 - 9/19","42","47"
"653","9/12 - 9/18","50","45"
"654","9/11 - 9/14","45","46"
"655","9/9 - 9/13","46","44"
"656","9/10 - 9/13","46","44"
"657","9/8 - 9/13","48","43"
"658","9/8 - 9/12","40","39"
"659","9/5 - 9/11","44","44"
"660","9/5 - 9/11","48","44"
"661","9/5 - 9/8","51","43"
"662","9/4 - 9/6","44","42"
"663","9/1 - 9/5","40","38"
"664","9/1 - 9/4","48","49"
"665","8/29 - 9/4","48","42"
"666","8/26 - 9/1","44","43"
"667","8/28 - 8/30","48","42"
"668","8/26 - 8/28","48","43"
"669","8/27 - 8/29","47","42"
"670","8/25 - 8/29","40","39"
"671","8/25 - 8/28","49","42"
"672","8/24 - 8/29","48","41"
"673","8/22 - 8/28","48","42"
"674","8/22 - 8/28","44","44"
"675","8/20 - 8/24","42","35"
"676","8/19 - 8/23","47","44"
"677","8/18 - 8/24","51","41"
"678","8/15 - 8/21","50","42"
"679","8/13 - 8/17","41","36"
"680","8/14 - 8/16","47","41"
"681","8/15 - 8/15","54","46"
"682","8/8 - 8/14","50","41"
"683","8/6 - 8/12","46","42"
"684","8/6 - 8/10","42","36"
"685","8/6 - 8/9","48","41"
"686","8/5 - 8/8","50","44"
"687","8/1 - 8/4","50","42"
"688","7/30 - 8/5","45","44"
"689","7/29 - 8/4","46","39"
"690","8/1 - 8/3","48","33"
"691","7/31 - 8/3","47","38"
"692","8/1 - 8/7","51","41"
"693","7/31 - 8/2","49","39"
"694","7/30 - 8/1","46","43"
"695","7/29 - 7/31","47","41"
"696","7/30 - 8/3","43","39"
"697","7/29 - 7/31","52","43"
"698","7/25 - 7/31","50","42"
"699","7/29 - 7/30","50","45"
"700","7/25 - 7/29","40","35"
"701","7/26 - 7/27","43","42"
"702","7/23 - 7/24","47","42"
"703","7/22 - 7/24","45","48"
"704","7/20 - 7/26","40","47"
"705","7/22 - 7/24","43","44"
"706","7/18 - 7/24","46","45"
"707","7/21 - 7/22","49","51"
"708","7/18 - 7/19","42","43"
"709","7/16 - 7/20","40","36"
"710","7/15 - 7/17","45","41"
"711","7/11 - 7/17","46","45"
"712","7/13 - 7/16","49","42"
"713","7/11 - 7/14","47","43"
"714","7/12 - 7/13","37","44"
"715","7/9 - 7/13","46","41"
"716","7/8 - 7/12","40","40"
"717","7/9 - 7/11","45","43"
"718","7/5 - 7/9","42","39"
"719","7/5 - 7/5","40","42"
"720","7/2 - 7/6","44","33"
"721","7/2 - 7/4","47","42"
"722","6/28 - 6/29","39","43"
"723","6/26 - 6/29","46","40"
"724","6/27 - 6/28","48","44"
"725","6/27 - 6/28","50","48"
"726","6/26 - 6/28","44","38"
"727","6/25 - 6/29","42","32"
"728","6/24 - 6/29","44","40"
"729","6/24 - 6/27","42","38"
"730","6/21 - 6/27","42","40"
"731","6/15 - 6/26","51","42"
"732","6/20 - 6/23","51","39"
"733","6/19 - 6/23","46","41"
"734","6/20 - 6/21","44","39"
"735","6/18 - 6/22","44","34"
"736","6/18 - 6/20","43","39"
"737","6/16 - 6/19","47","42"
"738","6/15 - 6/19","49","41"
"739","6/16 - 6/16","51","47"
"740","6/14 - 6/15","44","39"
"741","6/11 - 6/15","41","32"
"742","6/11 - 6/13","40","35"
"743","6/10 - 6/13","49","37"
"744","6/9 - 6/13","43","37"
"745","6/5 - 6/8","42","39"
"746","6/6 - 6/7","42","38"
"747","6/4 - 6/8","42","34"
"748","6/2 - 6/5","44","41"
"749","5/31 - 6/5","45","40"
"750","5/31 - 6/1","39","38"
"751","5/24 - 5/30","45","41"
"752","5/23 - 5/24","40","39"
"753","5/16 - 5/19","44","46"
"754","8/14 - 8/20","43","45"
"755","5/15 - 5/19","46","43"
"756","5/17 - 5/18","37","42"
"757","5/14 - 5/17","42","45"
"758","5/13 - 5/17","47","41"
"759","5/10 - 5/10","50","48"
"760","5/6 - 5/9","47","41"
"761","4/28 - 5/1","54","41"
"762","4/27 - 4/28","39","41"
"763","4/22 - 4/28","47","40"
"764","4/25 - 4/26","38","38"
"765","4/20 - 4/24","50","39"
"766","4/17 - 4/20","46","43"
"767","4/11 - 4/13","48","41"
"768","4/10 - 4/14","50","39"
"769","4/8 - 4/12","50","40"
"770","3/29 - 3/31","50","41"
"771","3/28 - 4/2","47","35"
"772","3/24 - 3/26","48","41"
"773","3/20 - 3/22","49","38"
"774","3/19 - 3/22","54","36"
"775","3/16 - 3/21","46","40"
"776","3/17 - 3/20","50","40"
"777","3/17 - 3/20","53","41"
